airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Vistara,2019-05-21,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,9345
Spicejet,2019-05-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Air Asia,2019-05-12,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,5192
Jet Airways,2019-05-27,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,12898
Multiple Carriers,2019-05-09,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7575
Air India,2019-05-15,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,12803
Indigo,2019-05-09,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,4784
Air India,2019-05-12,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,13437
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13587
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,22:40:00,1580,1.0,No Info,7927
Air India,2019-03-12,Banglore,New Delhi,17:25:00,16:20:00,1375,2.0,No Info,12778
Jet Airways,2019-03-09,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Indigo,2019-03-03,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,8855
Air India,2019-03-01,Banglore,New Delhi,11:05:00,19:50:00,525,1.0,1 Long layover,14594
Jet Airways,2019-03-06,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,18308
Indigo,2019-03-15,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,5895
Indigo,2019-03-03,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,6482
Air India,2019-05-01,Kolkata,Banglore,10:00:00,13:45:00,1665,2.0,No Info,15164
Air India,2019-06-09,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Air India,2019-05-24,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No Info,15170
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Indigo,2019-03-24,Kolkata,Banglore,15:10:00,19:50:00,280,1.0,No Info,7476
Vistara,2019-04-03,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,5403
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,9315
Air India,2019-03-18,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2050
Air India,2019-05-18,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,12199
Indigo,2019-03-27,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4148
Goair,2019-03-03,Banglore,New Delhi,15:45:00,20:15:00,270,1.0,No Info,8352
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,13:15:00,375,1.0,In-flight meal not included,7832
Jet Airways,2019-05-15,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Multiple Carriers,2019-06-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,In-flight meal not included,10196
Multiple Carriers,2019-03-27,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,7845
Multiple Carriers,2019-03-03,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,21829
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13587
Air Asia,2019-03-09,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,8327
Indigo,2019-05-12,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,4205
Jet Airways,2019-06-12,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,18371
Indigo,2019-03-01,Kolkata,Banglore,17:15:00,19:55:00,160,0.0,No Info,6565
Indigo,2019-06-12,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Vistara,2019-06-15,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Spicejet,2019-03-27,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,1759
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14781
Jet Airways,2019-06-15,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13292
Indigo,2019-05-27,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6147
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,04:45:00,890,1.0,No Info,13759
Air India,2019-06-06,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Indigo,2019-06-09,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,10539
Indigo,2019-05-01,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Multiple Carriers,2019-04-09,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,10877
Multiple Carriers,2019-06-09,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7005
Multiple Carriers,2019-03-09,Delhi,Cochin,08:40:00,19:45:00,665,1.0,No Info,18492
Spicejet,2019-04-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,In-flight meal not included,10844
Spicejet,2019-06-24,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Air India,2019-06-24,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,9443
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,22:55:00,945,1.0,No Info,8662
Indigo,2019-05-27,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No Info,6442
Jet Airways,2019-03-15,Banglore,New Delhi,09:45:00,15:55:00,370,1.0,In-flight meal not included,7280
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,8073
Vistara,2019-03-24,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,4878
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,No Info,13817
Jet Airways,2019-04-15,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,6542
Goair,2019-03-01,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,13663
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No Info,10976
Vistara,2019-05-21,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,9345
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,11467
Air India,2019-03-27,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,3145
Jet Airways,2019-06-12,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10577
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,7927
Multiple Carriers,2019-06-24,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13587
Indigo,2019-03-21,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No Info,7006
Air India,2019-03-09,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,12415
Air Asia,2019-06-18,Kolkata,Banglore,09:45:00,12:15:00,150,0.0,No Info,3807
Spicejet,2019-05-27,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Vistara,2019-04-18,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Spicejet,2019-06-06,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3625
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,7438
Indigo,2019-04-03,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Multiple Carriers,2019-03-27,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,6883
Jet Airways,2019-04-24,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,14714
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,14151
Air India,2019-05-21,Kolkata,Banglore,14:30:00,12:30:00,1320,2.0,No Info,15107
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No Info,14151
Indigo,2019-05-18,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,6534
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,14714
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No Info,10276
Goair,2019-06-15,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Air India,2019-04-09,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,4487
Air India,2019-03-24,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,No Info,11853
Multiple Carriers,2019-06-09,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,15629
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,12093
Spicejet,2019-06-01,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Air India,2019-03-12,Banglore,New Delhi,07:30:00,11:05:00,1655,2.0,No Info,11602
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,22:55:00,1595,1.0,No Info,7770
Indigo,2019-06-06,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5458
Jet Airways,2019-06-03,Delhi,Cochin,18:25:00,12:35:00,1090,2.0,No Info,14237
Air India,2019-03-24,Kolkata,Banglore,20:30:00,23:15:00,1605,1.0,No Info,10808
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Air Asia,2019-03-24,Kolkata,Banglore,19:55:00,23:30:00,215,1.0,No Info,5554
Multiple Carriers,2019-05-18,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,10197
Vistara,2019-03-21,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,5613
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,11789
Multiple Carriers,2019-06-24,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,12717
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,13469
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,04:25:00,925,1.0,No Info,15764
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,8073
Air India,2019-06-21,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,11841
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,865,1.0,No Info,14714
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Indigo,2019-06-15,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Vistara,2019-05-18,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4878
Goair,2019-04-24,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,6195
Jet Airways,2019-06-24,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,10262
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,00:45:00,640,1.0,No Info,14815
Multiple Carriers,2019-06-09,Delhi,Cochin,15:15:00,01:30:00,615,1.0,No Info,6795
Air India,2019-04-27,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,5228
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,15077
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14781
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,13067
Jet Airways,2019-05-21,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Indigo,2019-03-21,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Air India,2019-05-09,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,11596
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Indigo,2019-06-27,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3419
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,15353
Jet Airways,2019-05-18,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,12373
Air India,2019-06-09,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10203
Jet Airways,2019-05-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Indigo,2019-05-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4575
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,12121
Jet Airways,2019-06-27,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,11118
Air India,2019-06-03,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,12488
Jet Airways,2019-06-03,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,10368
Vistara,2019-05-24,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Indigo,2019-03-01,Banglore,New Delhi,18:55:00,21:45:00,170,0.0,No Info,14306
Spicejet,2019-05-27,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5158
Vistara,2019-04-27,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Indigo,2019-06-09,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5644
Indigo,2019-06-27,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6412
Jet Airways,2019-03-06,Delhi,Cochin,18:15:00,19:45:00,1530,1.0,No Info,17024
Spicejet,2019-05-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Multiple Carriers,2019-06-09,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7005
Jet Airways,2019-04-01,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Jet Airways,2019-05-09,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,12373
Jet Airways,2019-03-09,Delhi,Cochin,08:00:00,19:45:00,705,1.0,No Info,17549
Air India,2019-06-06,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7952
Indigo,2019-05-27,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Indigo,2019-06-24,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Air India,2019-03-21,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,7934
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1.0,In-flight meal not included,10031
Indigo,2019-03-21,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No Info,5734
Spicejet,2019-03-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,7050
Air Asia,2019-04-03,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Vistara,2019-06-03,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Indigo,2019-06-12,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,5930
Air India,2019-05-18,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,13486
Indigo,2019-06-09,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,6442
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,12898
Indigo,2019-03-09,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,6297
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,05:05:00,1045,1.0,No Info,16736
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,13067
Spicejet,2019-04-01,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3971
Jet Airways,2019-05-09,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12373
Indigo,2019-05-27,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6838
Air India,2019-05-24,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,12802
Jet Airways,2019-05-18,Delhi,Cochin,14:35:00,04:25:00,830,2.0,In-flight meal not included,13848
Air India,2019-06-24,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,7174
Spicejet,2019-05-21,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3625
Air India,2019-03-09,Banglore,New Delhi,17:00:00,03:40:00,640,1.0,No Info,8767
Indigo,2019-03-03,Banglore,New Delhi,14:25:00,19:25:00,300,1.0,No Info,11873
Jet Airways,2019-04-09,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,12242
Spicejet,2019-05-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Indigo,2019-06-15,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,5883
Indigo,2019-05-06,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,12681
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13062
Multiple Carriers,2019-06-03,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No Info,7038
Multiple Carriers,2019-05-18,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7670
Vistara,2019-05-12,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6216
Multiple Carriers,2019-06-12,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No Info,9646
Air India,2019-03-01,Banglore,New Delhi,06:45:00,12:15:00,330,1.0,No Info,23677
Air India,2019-05-27,Delhi,Cochin,21:00:00,19:15:00,1335,1.0,No Info,8372
Indigo,2019-03-27,Delhi,Cochin,10:45:00,01:35:00,890,1.0,No Info,6628
Jet Airways,2019-05-12,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Multiple Carriers,2019-03-21,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,6838
Spicejet,2019-03-03,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No Info,4622
Vistara,2019-06-06,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5088
Multiple Carriers,2019-03-06,Delhi,Cochin,10:00:00,18:50:00,530,1.0,No Info,16497
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No Info,9345
Spicejet,2019-06-21,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Air India,2019-03-03,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,12856
Indigo,2019-06-01,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,14714
Air India,2019-04-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,6587
Multiple Carriers,2019-06-03,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,9001
Spicejet,2019-03-06,Delhi,Cochin,15:55:00,21:55:00,360,1.0,No Info,9748
Multiple Carriers,2019-05-27,Delhi,Cochin,15:00:00,01:30:00,630,1.0,In-flight meal not included,6943
Multiple Carriers,2019-06-24,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,12927
Spicejet,2019-04-15,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,14151
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,11841
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,11467
Goair,2019-06-12,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,5842
